                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58397,                0.52331,                 1.4012,                0.44011,                0.48192,                0.40876,                0.31702,                0.77167,                 1.5018,                 1.5563,             0.00076956,             0.00076956,             0.00076956
                     36,                0.56667,                0.50014,                  1.378,                0.42196,                0.50391,                 0.4496,                  0.357,                0.75094,                 1.5123,                 1.5465,               0.000755,               0.000755,               0.000755
                     37,                0.54468,                 0.4805,                 1.3903,                0.35485,                0.60054,                0.42732,                0.33427,                0.76915,                 1.3704,                 1.5457,             0.00074044,             0.00074044,             0.00074044
                     38,                0.53387,                0.46679,                 1.3864,                0.46309,                 0.5173,                0.44245,                0.33675,                0.79924,                 1.4328,                 1.5783,             0.00072588,             0.00072588,             0.00072588
                     39,                0.54698,                0.46745,                 1.4033,                0.46917,                0.52567,                0.44246,                0.33963,                0.75894,                 1.5864,                 1.5178,             0.00071132,             0.00071132,             0.00071132
                     40,                 0.5362,                0.46663,                 1.4059,                0.43533,                0.49011,                0.45249,                0.35891,                0.80166,                 1.4621,                 1.5731,             0.00069676,             0.00069676,             0.00069676
                     41,                0.54436,                 0.4724,                 1.3959,                0.49091,                0.57208,                0.51893,                0.41543,                0.75899,                 1.5856,                 1.5061,             0.00068221,             0.00068221,             0.00068221
                     42,                0.54526,                0.47427,                 1.4199,                0.46645,                0.64237,                0.51687,                 0.4118,                0.79757,                 1.3998,                 1.5472,             0.00066765,             0.00066765,             0.00066765
                     43,                0.51238,                0.43615,                  1.391,                0.43806,                0.58094,                0.47984,                0.38142,                0.75421,                 1.3127,                 1.4929,             0.00065309,             0.00065309,             0.00065309
                     44,                0.51477,                0.50374,                  1.367,                0.47112,                0.44332,                0.42868,                0.33454,                0.74524,                 1.5396,                  1.518,             0.00063853,             0.00063853,             0.00063853
                     45,                0.48405,                0.40463,                 1.3483,                0.45917,                0.53566,                0.47376,                 0.3727,                0.73374,                 1.3694,                 1.4996,             0.00062397,             0.00062397,             0.00062397
                     46,                 0.5187,                 0.4322,                 1.3992,                0.56901,                0.48101,                0.51813,                0.39972,                 0.7682,                 1.2117,                 1.5397,             0.00060941,             0.00060941,             0.00060941
                     47,                0.50503,                0.42066,                 1.3934,                0.42298,                0.57174,                0.48675,                0.39211,                0.74565,                 1.4429,                 1.5114,             0.00059485,             0.00059485,             0.00059485
                     48,                0.49511,                0.40716,                 1.3465,                0.46162,                0.57597,                0.52929,                0.41447,                0.75176,                 1.4626,                 1.4809,             0.00058029,             0.00058029,             0.00058029
                     49,                0.49753,                0.41002,                 1.3558,                0.44289,                 0.5463,                0.47066,                0.36791,                0.73526,                 1.5524,                 1.5152,             0.00056574,             0.00056574,             0.00056574
                     50,                0.50259,                0.40332,                 1.3763,                0.50821,                0.56178,                0.48633,                0.38504,                0.73636,                  1.568,                 1.5317,             0.00055118,             0.00055118,             0.00055118
                     51,                0.47951,                0.39376,                 1.3656,                0.43881,                0.57418,                0.49668,                0.39288,                0.74019,                 1.5754,                 1.5355,             0.00053662,             0.00053662,             0.00053662
                     52,                0.46995,                0.38989,                 1.3731,                0.50372,                0.58731,                0.53718,                0.41646,                0.76803,                 1.6424,                  1.582,             0.00052206,             0.00052206,             0.00052206
                     53,                0.46656,                0.39004,                 1.3798,                0.49726,                0.56867,                0.52569,                0.41662,                0.73197,                 1.5791,                 1.5163,              0.0005075,              0.0005075,              0.0005075
                     54,                0.45332,                0.37798,                 1.3592,                0.74676,                0.42932,                0.53072,                0.41752,                0.71064,                  1.411,                 1.5047,             0.00049294,             0.00049294,             0.00049294
                     55,                0.46126,                0.36887,                 1.3477,                0.49474,                0.49205,                0.47435,                0.38727,                 0.7625,                 1.3249,                 1.5609,             0.00047838,             0.00047838,             0.00047838
                     56,                0.45538,                0.36774,                 1.3631,                 0.5409,                0.49437,                0.49614,                0.39544,                0.72165,                 1.4014,                 1.5313,             0.00046382,             0.00046382,             0.00046382
                     57,                0.42986,                0.36465,                 1.3694,                0.55205,                0.47126,                 0.5016,                0.40038,                0.72514,                 1.4413,                 1.5246,             0.00044926,             0.00044926,             0.00044926
                     58,                0.44736,                0.36497,                 1.3528,                0.44785,                0.52527,                0.48544,                0.38324,                0.74211,                 1.4612,                 1.5363,             0.00043471,             0.00043471,             0.00043471
                     59,                0.44052,                0.35029,                 1.3531,                0.46235,                0.50325,                0.45571,                0.35994,                 0.7555,                 1.5802,                  1.549,             0.00042015,             0.00042015,             0.00042015
                     60,                0.43437,                0.35008,                 1.3553,                0.39047,                0.57358,                0.44073,                0.34577,                0.75568,                 1.6605,                 1.5458,             0.00040559,             0.00040559,             0.00040559
                     61,                0.40946,                0.32281,                 1.3261,                0.51266,                 0.5428,                0.46317,                0.36944,                0.76511,                 1.5719,                 1.5304,             0.00039103,             0.00039103,             0.00039103
                     62,                  0.431,                 0.3634,                 1.3874,                0.43936,                0.45288,                0.41693,                0.32572,                0.77276,                 1.5209,                 1.5481,             0.00037647,             0.00037647,             0.00037647
                     63,                0.43196,                0.37779,                  1.405,                0.47578,                0.46426,                0.43539,                 0.3412,                0.74314,                 1.4853,                 1.4897,             0.00036191,             0.00036191,             0.00036191
                     64,                 0.4087,                0.33066,                  1.355,                0.46268,                0.52955,                0.46661,                0.36887,                0.77009,                 1.5113,                 1.5222,             0.00034735,             0.00034735,             0.00034735
                     65,                0.41142,                0.33652,                 1.3467,                0.47515,                0.54133,                0.43801,                0.34131,                0.77185,                 1.5637,                 1.5489,             0.00033279,             0.00033279,             0.00033279
                     66,                0.41812,                0.34315,                 1.3469,                0.37523,                0.60341,                0.46234,                0.36934,                0.76318,                 1.4428,                 1.5631,             0.00031824,             0.00031824,             0.00031824
                     67,                0.40805,                0.32994,                 1.3515,                0.40204,                0.57141,                0.43328,                0.33721,                0.78182,                  1.469,                 1.5593,             0.00030368,             0.00030368,             0.00030368
                     68,                0.40078,                0.32436,                 1.3352,                0.41257,                0.66055,                0.44817,                0.35311,                0.77816,                 1.4377,                 1.5489,             0.00028912,             0.00028912,             0.00028912
                     69,                0.38493,                0.31472,                 1.3309,                0.39836,                 0.5916,                0.48597,                0.38115,                0.75409,                 1.4655,                 1.5226,             0.00027456,             0.00027456,             0.00027456
                     70,                0.38485,                0.31437,                 1.3515,                0.47054,                0.50056,                0.49594,                 0.3935,                0.75228,                 1.3571,                 1.5157,                0.00026,                0.00026,                0.00026
                     71,                0.40409,                0.32421,                 1.3574,                0.47994,                0.47621,                0.46885,                0.36622,                0.75051,                 1.4476,                 1.5215,             0.00024544,             0.00024544,             0.00024544
                     72,                0.39276,                0.32263,                 1.3559,                0.48352,                0.49864,                0.49975,                0.39458,                0.77605,                 1.4371,                 1.5291,             0.00023088,             0.00023088,             0.00023088
